服务器id	玩家uid	操作项目	次数	总金币
131	137370220	定向洗练	1	26
131	137379597	定向洗练	1	14
131	137416891	定向洗练	1	26
132	138412252	定向洗练	2	28
132	138412326	定向洗练	7	266
132	138414135	定向洗练	9	234
136	142631985	定向洗练	67	1358
136	155202850	定向洗练	3	42
136	155210003	定向洗练	1	26
136	155223328	定向洗练	7	134
136	155238599	定向洗练	4	92
136	155241492	定向洗练	2	28
138	144703583	定向洗练	1	26
138	144703759	定向洗练	7	260
138	144708373	定向洗练	4	260
138	144719273	定向洗练	6	156
138	144725116	定向洗练	2	52
138	144728341	定向洗练	13	182
138	144733282	定向洗练	2	28
139	145755729	定向洗练	4	416
142	148898543	定向洗练	26	364
142	148907266	定向洗练	5	130
143	149967010	定向洗练	17	490
143	149990179	定向洗练	9	234
145	152043696	定向洗练	1	26
147	154151773	定向洗练	3	84
147	154154519	定向洗练	65	3730
147	162529298	定向洗练	7	182
147	162531451	定向洗练	3	280
147	169878208	定向洗练	2	52
149	156237893	定向洗练	3	322
149	156244342	定向洗练	7	728
149	156245712	定向洗练	4	104
149	156249666	定向洗练	5	130
149	156259365	定向洗练	104	1456
149	156268006	定向洗练	1	26
149	156271881	定向洗练	10	140
149	156282139	定向洗练	4	104
150	157286449	定向洗练	51	1078
150	157288655	定向洗练	12	312
151	158335009	定向洗练	2	208
151	158335277	定向洗练	6	84
151	158335718	定向洗练	12	672
151	158336053	定向洗练	1	26
151	158336649	定向洗练	11	560
151	158339762	定向洗练	2	28
151	158354190	定向洗练	14	364
151	158354654	定向洗练	21	936
151	158356060	定向洗练	3	54
152	159410241	定向洗练	1	26
152	159425240	定向洗练	4	336
153	160432225	定向洗练	8	208
153	160433847	定向洗练	23	574
153	160434235	定向洗练	18	252
153	160434630	定向洗练	2	28
153	160434661	定向洗练	10	560
156	163577996	定向洗练	6	624
156	163592013	定向洗练	1	26
156	163592772	定向洗练	2	112
156	163603974	定向洗练	40	692
157	164627307	定向洗练	9	126
157	164633660	定向洗练	17	676
157	164639137	定向洗练	3	42
158	165682191	定向洗练	18	252
163	170944250	定向洗练	43	1118
163	170961273	定向洗练	8	112
163	170966742	定向洗练	29	406
163	170966745	定向洗练	3	42
163	170970001	定向洗练	3	78
163	170974251	定向洗练	5	130
163	170976007	定向洗练	73	1898
164	171966809	定向洗练	1	104
164	171974748	定向洗练	2	52
165	173015149	定向洗练	4	56
165	173017204	定向洗练	4	260
165	173031053	定向洗练	2	52
165	173062551	定向洗练	3	78
170	178258720	定向洗练	11	286
170	178258846	定向洗练	1	14
170	178259099	定向洗练	4	56
170	178265654	定向洗练	4	840
170	178287077	定向洗练	2	130
170	178293654	定向洗练	2	52
171	179307273	定向洗练	26	364
171	179309628	定向洗练	14	196
171	179312022	定向洗练	55	2828
171	179314065	定向洗练	10	260
171	179314908	定向洗练	81	1596
171	179315024	定向洗练	19	3220
171	179315765	定向洗练	3	78
172	180355461	定向洗练	19	434
172	180355606	定向洗练	15	390
172	180357022	定向洗练	3	78
172	180357361	定向洗练	5	208
172	180358908	定向洗练	11	154
172	180360581	定向洗练	6	120
172	180364800	定向洗练	34	518
174	186647209	定向洗练	6	96
175	183500928	定向洗练	4	104
175	183500959	定向洗练	110	3718
175	183501498	定向洗练	9	126
175	183513688	定向洗练	38	532
176	184582518	定向洗练	3	78
179	187695442	定向洗练	3	156
180	188743754	定向洗练	4	56
180	188747296	定向洗练	11	154
180	188749793	定向洗练	6	156
182	190848934	定向洗练	11	286
183	191889410	定向洗练	1	104
184	192939579	定向洗练	2	52
185	193990562	定向洗练	99	1918
185	193994346	定向洗练	11	286
186	195038958	定向洗练	76	2576
186	195040048	定向洗练	8	196
186	198180943	定向洗练	7	98
186	198180946	定向洗练	11	286
186	198181512	定向洗练	3	42
187	196087153	定向洗练	6	156
188	197133855	定向洗练	2	28
188	197136290	定向洗练	1	56
188	197140620	定向洗练	1	26
188	197145434	定向洗练	21	546
188	197165884	定向洗练	14	364
188	197167122	定向洗练	1	26
191	200278280	定向洗练	2	112
191	200279533	定向洗练	4	104
191	200280627	定向洗练	5	70
191	200285503	定向洗练	7	98
191	200291248	定向洗练	3	78
191	200292424	定向洗练	4	224
191	200296153	定向洗练	3	42
191	200302483	定向洗练	2	130
192	201327242	定向洗练	3	78
192	201334176	定向洗练	2	52
196	205531596	定向洗练	2	52
