服务器id,玩家uid,操作项目,次数,总银币
290,304146658,普通洗练,1,3900
290,304147107,普通洗练,16,104000
290,304147804,普通洗练,6,23400
290,304149708,普通洗练,3,11700
290,304151429,普通洗练,3,11700
290,304157334,普通洗练,11,42900
290,304157933,普通洗练,8,31200
服务器id,玩家uid,操作项目,次数,总银币
289,303038478,普通洗练,31,306800
289,303038485,普通洗练,16,104000
289,303038505,普通洗练,10,104000
289,303038523,普通洗练,58,239200
289,303038549,普通洗练,6,62400
289,303038586,普通洗练,27,134400
289,303038656,普通洗练,4,41600
289,303038677,普通洗练,8,31200
289,303038704,普通洗练,5,52000
289,303038710,普通洗练,11,42900
289,303038725,普通洗练,7,72800
289,303038774,普通洗练,23,149500
289,303038804,普通洗练,9,35100
289,303038865,普通洗练,7,27300
289,303038894,普通洗练,2,20800
289,303038900,普通洗练,12,75400
289,303039069,普通洗练,23,89700
289,303039118,普通洗练,3,11700
289,303039215,普通洗练,1,6500
289,303039227,普通洗练,8,83200
289,303039327,普通洗练,7,45500
289,303039337,普通洗练,4,41600
289,303039402,普通洗练,25,97500
289,303039454,普通洗练,11,71500
289,303039595,普通洗练,7,72800
289,303039983,普通洗练,3,19500
289,303040130,普通洗练,15,97500
289,303040411,普通洗练,8,52000
289,303040631,普通洗练,46,179400
289,303040943,普通洗练,5,19500
289,303040991,普通洗练,9,35100
289,303041156,普通洗练,26,169000
289,303041579,普通洗练,9,58500
289,303042993,普通洗练,66,299000
289,303043282,普通洗练,12,72800
289,303043436,普通洗练,13,50700
289,303044901,普通洗练,25,201500
289,303045907,普通洗练,52,540800
289,303046817,普通洗练,2,7800
289,303047173,普通洗练,1,6500
289,303047366,普通洗练,34,191800
289,303048183,普通洗练,35,152100
289,303048358,普通洗练,25,97500
289,303048489,普通洗练,4,26000
289,303049701,普通洗练,7,45500
289,303049735,普通洗练,16,62400
289,303049934,普通洗练,92,439400
289,303050321,普通洗练,1,6500
289,303050847,普通洗练,18,70200
289,303051264,普通洗练,12,124800
289,303051356,普通洗练,10,35000
289,303052213,普通洗练,3,11700
289,303052541,普通洗练,1,3900
289,303052799,普通洗练,8,52000
289,303053100,普通洗练,7,35100
289,303053124,普通洗练,4,15600
289,303055651,普通洗练,5,28000
289,303056559,普通洗练,12,65000
289,303056755,普通洗练,22,104000
289,303057494,普通洗练,56,265200
289,303058117,普通洗练,10,54600
289,303058704,普通洗练,112,235200
289,303059257,普通洗练,2,7800
289,303060524,普通洗练,13,50700
289,303061212,普通洗练,8,31200
289,303061523,普通洗练,25,87500
289,303063218,普通洗练,11,71500
289,303064838,普通洗练,1,6500
289,303065379,普通洗练,48,312000
289,303069347,普通洗练,9,35100
289,303070699,普通洗练,11,71500
289,303070911,普通洗练,4,15600
289,303071599,普通洗练,2,7800
289,303071741,普通洗练,27,175500
289,303072100,普通洗练,19,123500
289,303072334,普通洗练,3,11700
289,303072354,普通洗练,41,227500
289,303072587,普通洗练,23,118300
289,303072686,普通洗练,55,324500
289,303072842,普通洗练,2,4200
289,303073151,普通洗练,7,24500
289,303073293,普通洗练,4,23400
289,303073785,普通洗练,10,33600
289,303074660,普通洗练,4,8400
289,303076566,普通洗练,3,11700
289,303076683,普通洗练,2,7800
289,303076717,普通洗练,5,19500
289,303077032,普通洗练,18,70200
289,303077098,普通洗练,7,27300
289,303077103,普通洗练,16,63600
289,303077196,普通洗练,37,144300
289,303077206,普通洗练,19,74100
289,303077255,普通洗练,12,46800
服务器id,玩家uid,操作项目,次数,总银币
288,301989904,普通洗练,1,5600
288,301989907,普通洗练,12,46800
288,301989911,普通洗练,5,40300
288,301989969,普通洗练,31,183500
288,301990023,普通洗练,1,10400
288,301990075,普通洗练,3,31200
288,301990147,普通洗练,6,62400
288,301990357,普通洗练,72,353600
288,301990441,普通洗练,14,49000
288,301991243,普通洗练,7,42500
288,301991701,普通洗练,12,46800
288,301991957,普通洗练,13,50700
288,301992177,普通洗练,49,240500
288,301993016,普通洗练,11,71500
288,301993096,普通洗练,10,39000
288,301994159,普通洗练,4,26000
288,301995460,普通洗练,3,11700
288,301995675,普通洗练,1,3900
288,301996246,普通洗练,13,84500
288,301996441,普通洗练,13,50700
288,301996790,普通洗练,2,10400
288,301996947,普通洗练,3,19500
288,301998936,普通洗练,4,26000
288,301999228,普通洗练,4,15600
288,302000883,普通洗练,1,3900
288,302000978,普通洗练,3,11700
288,302000995,普通洗练,2,13000
288,302001883,普通洗练,8,31200
服务器id,玩家uid,操作项目,次数,总银币
291,305135626,普通洗练,19,123500
291,305135650,普通洗练,5,52000
291,305135746,普通洗练,3,11700
291,305135751,普通洗练,8,28000
291,305135763,普通洗练,1,10400
291,305136203,普通洗练,39,183300
291,305136858,普通洗练,6,62400
291,305137129,普通洗练,96,537600
291,305139017,普通洗练,42,273000
291,305141384,普通洗练,1,10400
291,305141673,普通洗练,2,7800
291,305142920,普通洗练,1,10400
291,305143082,普通洗练,12,78000
291,305143192,普通洗练,1,6500
291,305144206,普通洗练,41,426400
291,305145133,普通洗练,8,83200
291,305149224,普通洗练,30,130000
291,305152174,普通洗练,8,64000
291,305156738,普通洗练,11,114400
291,305157651,普通洗练,3,19500
291,305157863,普通洗练,20,42000
291,305158590,普通洗练,24,93600
291,305159207,普通洗练,1,3900
291,305159742,普通洗练,29,115700
291,305160737,普通洗练,18,70200
291,305161076,普通洗练,32,139000
291,305161984,普通洗练,29,188500
291,305162549,普通洗练,33,128700
291,305162559,普通洗练,11,42900
291,305162797,普通洗练,15,58500
291,305162851,普通洗练,17,66300
291,305163947,普通洗练,2,7800
291,305164006,普通洗练,1,6500
291,305164403,普通洗练,32,124800
291,305164881,普通洗练,2,7800
291,305164924,普通洗练,61,237900
291,305164992,普通洗练,113,440700
服务器id,玩家uid,操作项目,次数,总银币
295,309331156,普通洗练,9,35100
295,309331180,普通洗练,21,81900
服务器id,玩家uid,操作项目,次数,总银币
287,300941455,普通洗练,2,20800
287,300941567,普通洗练,8,31200
287,300942092,普通洗练,3,10500
287,300942863,普通洗练,11,58500
287,300945302,普通洗练,8,31200
287,300946997,普通洗练,108,514800
287,300947779,普通洗练,26,101400
287,300949164,普通洗练,31,201500
287,300957571,普通洗练,1,6500
287,300958418,普通洗练,11,71500
287,300959680,普通洗练,8,16800
287,300959856,普通洗练,3,11700
287,300960653,普通洗练,1,3900
287,300960672,普通洗练,1,3900
287,300960779,普通洗练,6,49400
287,300962147,普通洗练,14,145600
287,300966737,普通洗练,11,71500
287,300968433,普通洗练,11,71500
287,300971004,普通洗练,20,208000
287,300975678,普通洗练,16,110600
287,300977457,普通洗练,8,52000
287,300984191,普通洗练,3,11700
287,300985884,普通洗练,26,114400
287,300987267,普通洗练,12,46800
287,300987961,普通洗练,25,162500
287,300988621,普通洗练,1,3900
287,300991121,普通洗练,10,65000
287,300992599,普通洗练,5,32500
287,300994718,普通洗练,13,84500
287,301004948,普通洗练,216,1180400
287,301005005,普通洗练,5,19500
287,301005016,普通洗练,16,104000
287,301005447,普通洗练,4,15600
287,301005463,普通洗练,39,123300
287,301005504,普通洗练,2,7800
服务器id,玩家uid,操作项目,次数,总银币
286,299892767,普通洗练,39,108500
286,299892768,普通洗练,10,65000
286,299892781,普通洗练,30,195000
286,299894463,普通洗练,3,19500
286,299896037,普通洗练,1,6500
286,299896100,普通洗练,18,70200
286,299896315,普通洗练,41,198900
服务器id,玩家uid,操作项目,次数,总银币
285,298844169,普通洗练,6,23400
285,298844195,普通洗练,12,46800
285,298844256,普通洗练,20,130000
285,298844287,普通洗练,22,85800
285,298844374,普通洗练,3,31200
285,298844384,普通洗练,19,123500
285,298844397,普通洗练,2,20800
285,298845101,普通洗练,11,42900
285,298845329,普通洗练,47,109900
285,298845558,普通洗练,5,32500
285,298845617,普通洗练,4,15600
285,298845697,普通洗练,13,50700
285,298846024,普通洗练,2,11200
285,298846147,普通洗练,5,19500
285,298846199,普通洗练,1,6500
285,298846206,普通洗练,15,52500
285,298846530,普通洗练,3,31200
285,298846608,普通洗练,2,7800
285,298847344,普通洗练,36,234000
285,298847485,普通洗练,28,100000
285,298849288,普通洗练,22,91000
285,298849568,普通洗练,8,31200
285,298849645,普通洗练,30,117000
285,298849693,普通洗练,110,715000
285,298850161,普通洗练,21,127100
285,298852499,普通洗练,6,33600
285,298852779,普通洗练,43,243100
285,298852916,普通洗练,1,10400
285,298853151,普通洗练,18,99000
285,298853324,普通洗练,6,39000
285,298853477,普通洗练,16,62400
285,298854299,普通洗练,18,117000
285,298854899,普通洗练,3,19500
285,298855040,普通洗练,8,31200
285,298856117,普通洗练,111,233100
285,298857964,普通洗练,25,162500
285,298862521,普通洗练,5,28000
285,298866199,普通洗练,6,62400
285,298868420,普通洗练,14,91000
285,298868761,普通洗练,4,26000
285,298868974,普通洗练,159,939900
285,298870284,普通洗练,11,42900
285,298870420,普通洗练,20,208000
285,298870572,普通洗练,1,6500
285,298874755,普通洗练,55,357500
285,298874920,普通洗练,22,143000
285,298875528,普通洗练,39,159900
285,298875703,普通洗练,19,123500
285,298878092,普通洗练,15,100100
285,298878320,普通洗练,1,3900
285,298879336,普通洗练,14,70200
285,298879840,普通洗练,3,11700
285,298880781,普通洗练,3,11700
285,298881104,普通洗练,13,76700
285,298881601,普通洗练,10,65000
285,298881830,普通洗练,8,52000
285,298882714,普通洗练,18,187200
285,298882895,普通洗练,18,187200
285,298883171,普通洗练,70,572000
285,298883912,普通洗练,64,416000
285,298884263,普通洗练,5,29900
285,298884413,普通洗练,1,6500
285,298884873,普通洗练,22,143000
285,298886007,普通洗练,5,19500
285,298886525,普通洗练,4,26000
285,298887199,普通洗练,17,110500
285,298887670,普通洗练,8,52000
285,298888370,普通洗练,4,15600
285,298888567,普通洗练,44,92400
285,298888711,普通洗练,28,111800
285,298888877,普通洗练,43,167700
285,298889138,普通洗练,9,35100
285,298889179,普通洗练,2,7800
服务器id,玩家uid,操作项目,次数,总银币
284,297796705,普通洗练,14,80600
284,297796761,普通洗练,5,32500
284,297798941,普通洗练,8,31200
284,297802376,普通洗练,46,299000
284,297802394,普通洗练,3,31200
服务器id,玩家uid,操作项目,次数,总银币
282,295699299,普通洗练,9,58500
282,295700979,普通洗练,51,198900
服务器id,玩家uid,操作项目,次数,总银币
283,296747032,普通洗练,1,6500
283,296747124,普通洗练,13,72800
283,296747127,普通洗练,11,48100
283,296747129,普通洗练,4,14000
283,296747200,普通洗练,2,20800
283,296747366,普通洗练,1,6500
283,296750306,普通洗练,4,22400
283,296750506,普通洗练,112,478700
283,296751423,普通洗练,79,513500
283,296752446,普通洗练,9,85800
283,296753640,普通洗练,32,197600
283,296754093,普通洗练,78,468000
283,296754493,普通洗练,6,62400
283,296755930,普通洗练,22,143000
283,296762380,普通洗练,53,344500
283,296762812,普通洗练,6,62400
283,296766821,普通洗练,252,1042600
283,296768892,普通洗练,7,72800
283,296773147,普通洗练,15,58500
283,296773148,普通洗练,10,39000
283,296775686,普通洗练,5,52000
283,296776309,普通洗练,30,117000
283,296779916,普通洗练,2,7800
283,296782217,普通洗练,33,193700
283,296784702,普通洗练,1,6500
283,296786340,普通洗练,1,3900
283,296791014,普通洗练,3,13500
283,296792948,普通洗练,17,66300
283,296793302,普通洗练,7,27300
283,296794438,普通洗练,2,13000
283,296797194,普通洗练,14,88400
283,296797824,普通洗练,2,7800
283,296799070,普通洗练,18,117000
283,296800059,普通洗练,18,141900
283,296801995,普通洗练,11,57200
283,296803602,普通洗练,2,10400
283,296807383,普通洗练,5,19500
283,296818230,普通洗练,6,26000
283,296818746,普通洗练,45,279500
服务器id,玩家uid,操作项目,次数,总银币
281,294652617,普通洗练,7,72800
281,294652856,普通洗练,27,280800
281,294654122,普通洗练,59,444600
281,294660597,普通洗练,26,169000
281,294661313,普通洗练,5,32500
281,294666526,普通洗练,5,28000
281,294669470,普通洗练,26,101400
281,294671627,普通洗练,7,45500
281,294672136,普通洗练,25,97500
281,294673996,普通洗练,3,19500
281,294675731,普通洗练,25,120900
281,294676087,普通洗练,93,362700
281,294676123,普通洗练,6,39000
281,294681090,普通洗练,6,23400
281,294690330,普通洗练,6,23400
281,294690377,普通洗练,1,6500
281,294692986,普通洗练,2,7800
281,294693727,普通洗练,49,191100
281,294695003,普通洗练,36,166400
281,294695180,普通洗练,3,23400
281,294700062,普通洗练,95,533300
281,294702716,普通洗练,5,19500
281,294704352,普通洗练,1,10400
281,294704381,普通洗练,16,62400
281,294704762,普通洗练,36,140400
281,294707994,普通洗练,1,3900
281,294708722,普通洗练,37,144300
281,294708976,普通洗练,2,7800
281,294711017,普通洗练,2,13000
281,294711899,普通洗练,6,23400
281,294712720,普通洗练,8,31200
服务器id,玩家uid,操作项目,次数,总银币
280,293601296,普通洗练,5,32500
280,293601373,普通洗练,18,124800
280,293601377,普通洗练,11,42900
280,293601430,普通洗练,10,104000
280,293601435,普通洗练,11,114400
280,293601563,普通洗练,77,466700
280,293601591,普通洗练,1,6500
280,293601602,普通洗练,6,62400
280,293601631,普通洗练,7,39200
280,293601769,普通洗练,18,117000
280,293601922,普通洗练,8,52000
280,293602113,普通洗练,1,3900
280,293602473,普通洗练,63,409500
280,293602474,普通洗练,57,222300
280,293602660,普通洗练,3,6300
280,293603521,普通洗练,47,305500
280,293603559,普通洗练,1,3900
280,293603913,普通洗练,26,169000
280,293610325,普通洗练,3,11700
280,293611876,普通洗练,1,10400
280,293616729,普通洗练,12,78000
280,293619189,普通洗练,54,210600
280,293620011,普通洗练,6,39000
280,293620652,普通洗练,12,78000
280,293622668,普通洗练,3,19500
280,293622778,普通洗练,7,27300
280,293623366,普通洗练,1,10400
280,293627292,普通洗练,4,15600
280,293633721,普通洗练,26,163800
280,293633883,普通洗练,10,39000
280,293634844,普通洗练,12,54600
280,293638509,普通洗练,1,6500
280,293638687,普通洗练,63,409500
280,293643813,普通洗练,3,19500
280,293644531,普通洗练,33,214500
280,293645219,普通洗练,13,92300
280,293645546,普通洗练,15,58500
280,293646496,普通洗练,6,62400
280,293649108,普通洗练,11,42900
280,293649214,普通洗练,5,19500
280,293650371,普通洗练,3,11700
280,293650875,普通洗练,1,3900
280,293651324,普通洗练,25,97500
280,293651414,普通洗练,84,327600
服务器id,玩家uid,操作项目,次数,总银币
279,292552897,普通洗练,9,58500
279,292552937,普通洗练,11,114400
279,292555339,普通洗练,44,171600
279,292557247,普通洗练,1,3500
279,292558889,普通洗练,5,52000
279,292561220,普通洗练,19,117900
279,292561937,普通洗练,3,19500
279,292562090,普通洗练,5,19500
279,292562093,普通洗练,27,105300
服务器id,玩家uid,操作项目,次数,总银币
278,291504144,普通洗练,2,20800
278,291504177,普通洗练,1,10400
278,291504230,普通洗练,27,105300
278,291504283,普通洗练,3,31200
278,291504340,普通洗练,8,44800
278,291504351,普通洗练,7,72800
278,291504440,普通洗练,9,93600
278,291504465,普通洗练,7,45500
278,291504514,普通洗练,11,114400
278,291504870,普通洗练,3,31200
278,291504900,普通洗练,27,175500
278,291505121,普通洗练,26,101400
278,291505378,普通洗练,7,65000
278,291505520,普通洗练,5,32500
278,291505744,普通洗练,15,97500
278,291505864,普通洗练,2,13000
278,291506259,普通洗练,10,39000
278,291506373,普通洗练,12,46800
278,291506866,普通洗练,47,214200
278,291507388,普通洗练,6,39000
278,291510249,普通洗练,23,128700
278,291510263,普通洗练,35,136500
278,291510730,普通洗练,4,41600
278,291512146,普通洗练,6,39000
278,291512263,普通洗练,20,108000
278,291512790,普通洗练,44,171600
278,291513283,普通洗练,5,32500
278,291513484,普通洗练,15,74100
278,291513522,普通洗练,60,390000
278,291513631,普通洗练,15,92300
278,291514440,普通洗练,3,11700
278,291514864,普通洗练,19,123500
278,291515134,普通洗练,1,6500
278,291517061,普通洗练,22,228800
278,291517574,普通洗练,8,52000
278,291517611,普通洗练,6,39000
278,291517619,普通洗练,8,31200
278,291517792,普通洗练,19,74100
278,291518423,普通洗练,12,57200
278,291520675,普通洗练,17,110500
278,291520703,普通洗练,4,15600
278,291520750,普通洗练,28,109200
278,291521792,普通洗练,88,555100
278,291522018,普通洗练,4,26000
278,291525078,普通洗练,27,113100
278,291526103,普通洗练,18,117000
278,291526851,普通洗练,8,52000
278,291526999,普通洗练,38,139800
278,291527007,普通洗练,1,10400
278,291527042,普通洗练,2,13000
278,291527596,普通洗练,7,27300
278,291527901,普通洗练,7,45500
278,291528601,普通洗练,3,11700
278,291529636,普通洗练,2,7800
278,291530649,普通洗练,16,62400
278,291530974,普通洗练,23,113100
278,291533296,普通洗练,3,11700
278,291534295,普通洗练,70,442000
278,291535180,普通洗练,27,105300
278,291535202,普通洗练,9,58500
278,291535559,普通洗练,7,29900
278,291535579,普通洗练,25,97500
278,291535792,普通洗练,43,263900
278,291535938,普通洗练,2,13000
278,291536391,普通洗练,33,141700
278,291536587,普通洗练,17,50100
278,291536828,普通洗练,5,19500
278,291537205,普通洗练,13,50700
278,291537235,普通洗练,52,202800
服务器id,玩家uid,操作项目,次数,总银币
277,290455683,普通洗练,19,74100
277,290455688,普通洗练,18,128700
277,290456135,普通洗练,2,11200
277,290459900,普通洗练,126,714100
277,290460482,普通洗练,39,253500
277,290460809,普通洗练,17,110500
277,290460875,普通洗练,26,169000
277,290462201,普通洗练,6,23400
277,290462293,普通洗练,2,13000
277,290462434,普通洗练,20,208000
277,290462862,普通洗练,3,19500
277,290464738,普通洗练,24,93600
277,290464767,普通洗练,1,3900
277,290464817,普通洗练,8,31200
277,290464826,普通洗练,12,46800
277,290464864,普通洗练,3,11700
服务器id,玩家uid,操作项目,次数,总银币
275,288358436,普通洗练,7,72800
275,288358451,普通洗练,17,95200
275,288358453,普通洗练,13,64400
275,288359163,普通洗练,18,63000
275,288359841,普通洗练,46,273000
275,288360697,普通洗练,4,41600
275,288361765,普通洗练,10,39000
275,288367123,普通洗练,11,61600
275,288367847,普通洗练,30,112000
275,288370418,普通洗练,40,357500
275,288371902,普通洗练,1,3900
275,288376572,普通洗练,5,19500
275,288383418,普通洗练,1,10400
275,288387108,普通洗练,3,31200
275,288391019,普通洗练,36,145600
275,288401388,普通洗练,25,126100
275,288405728,普通洗练,4,14000
275,288411348,普通洗练,1,3900
275,288416174,普通洗练,8,31200
275,288420526,普通洗练,4,8400
275,288426206,普通洗练,8,52000
275,288426282,普通洗练,21,94900
275,288426295,普通洗练,3,19500
275,288426413,普通洗练,11,23100
275,288426488,普通洗练,24,50400
275,288426526,普通洗练,8,16800
275,288427490,普通洗练,27,105300
275,288427523,普通洗练,44,171600
服务器id,玩家uid,操作项目,次数,总银币
276,289407193,普通洗练,1,6500
服务器id,玩家uid,操作项目,次数,总银币
274,287310037,普通洗练,14,145600
274,287310561,普通洗练,11,71500
274,287310878,普通洗练,28,109200
服务器id,玩家uid,操作项目,次数,总银币
273,286261260,普通洗练,13,72800
273,286261268,普通洗练,16,162500
273,286261300,普通洗练,59,344500
273,286261818,普通洗练,2,13000
273,286263495,普通洗练,15,97500
273,286264675,普通洗练,7,45500
273,286264924,普通洗练,33,221700
273,286267633,普通洗练,10,39000
273,286268784,普通洗练,41,159900
273,286268846,普通洗练,62,241800
273,286268857,普通洗练,8,31200
273,286268870,普通洗练,20,78000
服务器id,玩家uid,操作项目,次数,总银币
272,285212676,普通洗练,29,136500
272,285212790,普通洗练,9,35100
272,285212923,普通洗练,173,1183000
272,285213000,普通洗练,19,123500
272,285213220,普通洗练,2,7800
272,285213444,普通洗练,16,166400
272,285214873,普通洗练,34,182000
272,285215493,普通洗练,46,288400
272,285215599,普通洗练,13,72800
272,285216985,普通洗练,11,55900
272,285222470,普通洗练,2,7800
272,285222586,普通洗练,9,35100
272,285222786,普通洗练,177,690300
272,285222797,普通洗练,2,7800
272,285222802,普通洗练,13,50700
272,285222804,普通洗练,27,105300
272,285222811,普通洗练,4,15600
服务器id,玩家uid,操作项目,次数,总银币
271,284164168,普通洗练,1,10400
271,284164188,普通洗练,10,104000
271,284164255,普通洗练,1,6500
271,284164276,普通洗练,1,10400
271,284164293,普通洗练,6,39000
271,284164346,普通洗练,20,112000
271,284164383,普通洗练,19,197600
271,284164425,普通洗练,27,267800
271,284164429,普通洗练,49,318500
271,284164537,普通洗练,24,101400
271,284164550,普通洗练,6,39000
271,284164814,普通洗练,27,105300
271,284164894,普通洗练,6,36400
271,284165870,普通洗练,12,46800
271,284167541,普通洗练,3,7700
271,284169366,普通洗练,7,39200
271,284169700,普通洗练,4,26000
271,284169922,普通洗练,11,42900
271,284171410,普通洗练,35,139100
271,284172481,普通洗练,12,124800
271,284172546,普通洗练,80,637000
271,284172644,普通洗练,99,737100
271,284172965,普通洗练,4,41600
271,284175150,普通洗练,16,166400
271,284175383,普通洗练,2,20800
271,284176253,普通洗练,31,120900
271,284181239,普通洗练,13,84500
271,284182587,普通洗练,1,6500
271,284183235,普通洗练,10,21000
271,284184490,普通洗练,20,130000
271,284186411,普通洗练,25,126100
271,284187239,普通洗练,1,6500
271,284187498,普通洗练,9,58500
271,284187993,普通洗练,4,15600
271,284188321,普通洗练,6,39000
271,284189008,普通洗练,27,204100
271,284189094,普通洗练,3,16900
271,284190060,普通洗练,15,58500
271,284190273,普通洗练,28,109200
271,284190621,普通洗练,20,78000
271,284190710,普通洗练,26,91000
271,284190863,普通洗练,8,31200
271,284191070,普通洗练,16,166400
271,284191078,普通洗练,11,42900
271,284191194,普通洗练,17,35700
服务器id,玩家uid,操作项目,次数,总银币
270,283115598,普通洗练,4,41600
270,283115624,普通洗练,14,61600
270,283115628,普通洗练,16,104000
270,283115661,普通洗练,1,6500
270,283115724,普通洗练,13,89700
270,283115782,普通洗练,15,156000
270,283115880,普通洗练,1,10400
270,283116723,普通洗练,2,20800
270,283116957,普通洗练,1,6500
270,283118784,普通洗练,49,274300
270,283120346,普通洗练,5,52000
270,283126219,普通洗练,35,136500
270,283130883,普通洗练,12,124800
270,283130963,普通洗练,4,26000
270,283131966,普通洗练,1,10400
270,283132894,普通洗练,7,27300
270,283141487,普通洗练,57,370500
270,283142185,普通洗练,6,23400
270,283144036,普通洗练,29,128700
270,283147784,普通洗练,2,20800
270,283149467,普通洗练,46,96600
270,283150343,普通洗练,1,10400
270,283150880,普通洗练,5,19500
270,283153728,普通洗练,3,6300
270,283154501,普通洗练,2,13000
270,283155025,普通洗练,18,98800
270,283155070,普通洗练,7,42900
270,283156038,普通洗练,1,3900
270,283156327,普通洗练,9,35100
270,283156711,普通洗练,3,11700
270,283156750,普通洗练,14,54600
270,283156820,普通洗练,1,3900
270,283156836,普通洗练,17,66300
服务器id,玩家uid,操作项目,次数,总银币
269,282067495,普通洗练,1,10400
269,282067555,普通洗练,49,228800
269,282069234,普通洗练,9,35100
269,282069516,普通洗练,14,54600
269,282070792,普通洗练,4,26000
269,282071238,普通洗练,10,39000
269,282071387,普通洗练,31,146900
269,282071543,普通洗练,8,52000
269,282071946,普通洗练,37,240500
269,282076056,普通洗练,9,93600
269,282077512,普通洗练,39,405600
269,282077623,普通洗练,4,22400
269,282080198,普通洗练,39,121100
269,282081387,普通洗练,22,85800
269,282083713,普通洗练,6,23400
269,282087782,普通洗练,46,478400
269,282091365,普通洗练,28,171600
269,282091977,普通洗练,4,26000
269,282092191,普通洗练,5,28000
269,282095801,普通洗练,3,31200
269,282098160,普通洗练,84,546000
269,282098484,普通洗练,2,7800
269,282102900,普通洗练,1,3900
269,282112408,普通洗练,45,245700
269,282112926,普通洗练,10,46800
269,282116872,普通洗练,9,42900
269,282130356,普通洗练,3,11700
269,282130407,普通洗练,47,164500
269,282130597,普通洗练,23,89700
269,282131952,普通洗练,49,191100
269,282131978,普通洗练,15,58500
269,282131990,普通洗练,1,3900
269,282131997,普通洗练,51,188100
服务器id,玩家uid,操作项目,次数,总银币
268,281018385,普通洗练,21,195000
268,281018665,普通洗练,53,477100
268,281019061,普通洗练,11,71500
268,281022114,普通洗练,27,228800
268,281036561,普通洗练,2,13000
268,281042636,普通洗练,36,206400
268,281052619,普通洗练,44,154000
268,281055348,普通洗练,6,23400
268,281055606,普通洗练,3,11700
268,281055921,普通洗练,37,152100
268,281056185,普通洗练,10,39000
服务器id,玩家uid,操作项目,次数,总银币
267,279969838,普通洗练,9,93600
267,279971411,普通洗练,41,266500
267,279973785,普通洗练,4,41600
267,279974193,普通洗练,11,71500
267,279975416,普通洗练,24,249600
267,279975897,普通洗练,16,104000
267,279976521,普通洗练,9,35100
267,279976699,普通洗练,22,228800
267,279979258,普通洗练,37,291200
267,279979562,普通洗练,32,181000
267,279979731,普通洗练,5,19500
服务器id,玩家uid,操作项目,次数,总银币
266,278922276,普通洗练,9,58500
266,278922544,普通洗练,37,135800
266,278923009,普通洗练,11,71500
266,278923608,普通洗练,83,539500
266,278924476,普通洗练,9,35100
266,278925197,普通洗练,8,31200
服务器id,玩家uid,操作项目,次数,总银币
265,277872650,普通洗练,9,50400
265,277872693,普通洗练,224,2329600
265,277872699,普通洗练,57,370500
265,277873180,普通洗练,8,31200
265,277873428,普通洗练,21,81900
265,277873471,普通洗练,1,5600
265,277874143,普通洗练,3,31200
265,277874600,普通洗练,8,31200
265,277875180,普通洗练,15,97500
265,277875400,普通洗练,31,126100
265,277876438,普通洗练,6,39000
265,277876823,普通洗练,39,405600
265,277878292,普通洗练,12,78000
265,277878621,普通洗练,68,265200
265,277879495,普通洗练,3,19500
265,277879931,普通洗练,2,7800
265,277880489,普通洗练,34,221000
265,277880544,普通洗练,5,52000
265,277880778,普通洗练,20,130000
265,277881462,普通洗练,9,89700
265,277881883,普通洗练,56,262600
265,277882440,普通洗练,14,91000
265,277882730,普通洗练,5,32500
265,277882836,普通洗练,5,52000
265,277883153,普通洗练,40,182000
265,277883291,普通洗练,23,128800
265,277884808,普通洗练,19,74100
265,277885906,普通洗练,1,5600
265,277886713,普通洗练,9,35100
265,277886804,普通洗练,36,95200
265,277891564,普通洗练,152,954200
265,277891919,普通洗练,13,90500
265,277891952,普通洗练,43,334100
265,277892387,普通洗练,18,70200
265,277893418,普通洗练,8,31200
265,277894122,普通洗练,1,6500
265,277894207,普通洗练,31,201500
265,277894403,普通洗练,8,31200
265,277896053,普通洗练,58,299000
265,277896803,普通洗练,3,11700
265,277898488,普通洗练,57,432900
265,277898925,普通洗练,19,115700
265,277901121,普通洗练,23,98500
265,277902917,普通洗练,32,332800
265,277903575,普通洗练,1,3900
265,277903732,普通洗练,5,19500
265,277903797,普通洗练,13,50700
265,277903819,普通洗练,36,140400
265,277903822,普通洗练,4,15600
265,277903836,普通洗练,2,7800
265,277903854,普通洗练,54,210600
265,277903864,普通洗练,13,50700
265,277903867,普通洗练,37,144300
265,277903868,普通洗练,13,50700
265,277903884,普通洗练,25,97500
服务器id,玩家uid,操作项目,次数,总银币
262,274726966,普通洗练,6,39000
262,274727771,普通洗练,26,270400
262,274729954,普通洗练,32,208000
262,274730645,普通洗练,1,6500
262,274737283,普通洗练,4,15600
262,274740999,普通洗练,7,27300
262,274743855,普通洗练,20,96200
262,274753845,普通洗练,102,744900
262,274754772,普通洗练,20,112000
262,274755055,普通洗练,14,54600
262,274757863,普通洗练,8,31200
262,274759905,普通洗练,6,39000
262,274761418,普通洗练,6,62400
262,274762729,普通洗练,1,10400
262,274763038,普通洗练,2,10400
262,274763324,普通洗练,47,305500
262,274763529,普通洗练,32,124800
262,274766974,普通洗练,1,6500
262,274768451,普通洗练,5,19500
262,274770904,普通洗练,1,3900
262,274772026,普通洗练,19,74100
262,274772036,普通洗练,48,202800
262,274772045,普通洗练,71,276900
262,274772059,普通洗练,13,84500
服务器id,玩家uid,操作项目,次数,总银币
261,273678362,普通洗练,11,61600
261,273678379,普通洗练,23,149500
261,273678428,普通洗练,20,106900
261,273678502,普通洗练,24,156000
261,273678503,普通洗练,14,141700
261,273678549,普通洗练,10,39000
