服务器id,玩家uid,操作项目,次数,总银币
305,319815915,普通洗练,9,35100
305,319816014,普通洗练,11,23100
305,319816137,普通洗练,22,85800
305,319816148,普通洗练,24,156000
305,319816206,普通洗练,30,130800
305,319816223,普通洗练,4,15600
305,319816535,普通洗练,3,11700
305,319816899,普通洗练,2,7800
305,319817493,普通洗练,4,26000
305,319817536,普通洗练,3,19500
305,319818600,普通洗练,4,18200
305,319819581,普通洗练,13,50700
305,319819745,普通洗练,2,7800
305,319819888,普通洗练,14,54600
305,319820018,普通洗练,24,118300
305,319820677,普通洗练,49,191100
305,319821851,普通洗练,2,7000
305,319822046,普通洗练,7,27300
305,319822910,普通洗练,12,46800
305,319823091,普通洗练,1,3900
305,319823293,普通洗练,1,6500
305,319823368,普通洗练,25,97500
305,319825785,普通洗练,15,58500
305,319828820,普通洗练,12,46800
305,319828980,普通洗练,40,84000
305,319829257,普通洗练,14,54600
305,319829351,普通洗练,19,74100
305,319829409,普通洗练,1,3900
305,319830792,普通洗练,6,23400
305,319830831,普通洗练,9,35100
305,319831939,普通洗练,1,2100
305,319832342,普通洗练,7,27300
305,319832754,普通洗练,3,11700
305,319833622,普通洗练,12,65000
305,319835137,普通洗练,5,19500
305,319835634,普通洗练,25,105300
305,319835841,普通洗练,13,76700
305,319837088,普通洗练,1,3900
305,319837614,普通洗练,42,163800
305,319839511,普通洗练,5,19500
305,319840513,普通洗练,11,55900
305,319841627,普通洗练,1,3900
305,319841729,普通洗练,1,3900
305,319842319,普通洗练,1,3900
305,319843600,普通洗练,3,10500
305,319844321,普通洗练,2,7800
305,319844386,普通洗练,5,19500
305,319844772,普通洗练,1,3900
305,319845205,普通洗练,2,7800
服务器id,玩家uid,操作项目,次数,总银币
303,317718554,普通洗练,7,27300
303,317718567,普通洗练,7,45500
303,317718569,普通洗练,72,468000
303,317718647,普通洗练,2,7800
303,317718894,普通洗练,9,35100
303,317718904,普通洗练,30,63000
303,317719354,普通洗练,15,156000
303,317720652,普通洗练,11,42900
303,317720862,普通洗练,1,10400
303,317721176,普通洗练,6,39000
303,317721202,普通洗练,55,214500
303,317721658,普通洗练,12,46800
303,317721985,普通洗练,56,218400
303,317722433,普通洗练,31,120900
303,317722626,普通洗练,1,3900
303,317723560,普通洗练,12,46800
303,317723761,普通洗练,10,21000
303,317723798,普通洗练,3,11700
服务器id,玩家uid,操作项目,次数,总银币
302,316669957,普通洗练,32,124800
302,316669965,普通洗练,6,23400
302,316669975,普通洗练,8,31200
302,316670012,普通洗练,2,20800
302,316670043,普通洗练,2,7800
302,316670058,普通洗练,2,20800
302,316670063,普通洗练,19,74100
302,316670067,普通洗练,4,15600
302,316670089,普通洗练,1,10400
302,316670090,普通洗练,22,93600
302,316670104,普通洗练,92,429000
302,316670113,普通洗练,75,382500
302,316670162,普通洗练,7,27300
302,316670308,普通洗练,5,52000
302,316670490,普通洗练,3,31200
302,316670516,普通洗练,39,95100
302,316670664,普通洗练,4,15600
302,316670678,普通洗练,39,243100
302,316670847,普通洗练,1,10400
302,316670885,普通洗练,9,35100
302,316671167,普通洗练,6,39000
302,316671312,普通洗练,1,10400
302,316671441,普通洗练,5,19500
302,316671670,普通洗练,6,23400
302,316671694,普通洗练,5,40300
302,316671795,普通洗练,27,175500
302,316672343,普通洗练,7,27300
302,316672362,普通洗练,3,19500
302,316672905,普通洗练,6,39000
302,316673001,普通洗练,14,94900
302,316674189,普通洗练,25,162500
302,316674298,普通洗练,3,11700
302,316674321,普通洗练,6,23400
302,316674815,普通洗练,1,10400
302,316674975,普通洗练,5,19500
302,316675093,普通洗练,13,84500
302,316675250,普通洗练,19,113100
302,316675816,普通洗练,8,52000
302,316675892,普通洗练,9,58500
302,316675989,普通洗练,11,42900
302,316676117,普通洗练,12,46800
302,316677348,普通洗练,18,70200
302,316677384,普通洗练,5,52000
302,316677409,普通洗练,22,85800
302,316678304,普通洗练,7,27300
302,316678610,普通洗练,9,58500
302,316679211,普通洗练,1,3900
302,316679241,普通洗练,34,197600
302,316679680,普通洗练,1,3900
302,316680127,普通洗练,1,3900
302,316680632,普通洗练,9,58500
302,316680875,普通洗练,5,19500
302,316681155,普通洗练,8,31200
302,316682011,普通洗练,7,27300
302,316683326,普通洗练,3,31200
302,316684827,普通洗练,8,31200
302,316685731,普通洗练,25,97500
302,316686391,普通洗练,1,2100
302,316686731,普通洗练,10,62400
302,316687950,普通洗练,6,23400
302,316688426,普通洗练,3,9900
302,316689068,普通洗练,68,270400
302,316689401,普通洗练,11,42900
302,316689822,普通洗练,17,66300
302,316690545,普通洗练,8,31200
302,316690740,普通洗练,27,56700
302,316690951,普通洗练,39,224900
302,316691121,普通洗练,54,210600
302,316691233,普通洗练,5,19500
302,316693220,普通洗练,2,7800
302,316693345,普通洗练,7,27300
302,316693644,普通洗练,10,39000
302,316693942,普通洗练,16,89600
302,316694593,普通洗练,34,132600
302,316694622,普通洗练,3,11700
